0,-122.23,37.88,41,880,129.0,322,126,8.3252,452600,NEAR BAY.
1,-122.22,37.86,21,7099,1106.0,2401,1138,8.3014,358500,NEAR BAY.
2,-122.24,37.85,52,1467,190.0,496,177,7.2574,352100,NEAR BAY.
3,-122.25,37.85,52,1274,235.0,558,219,5.6431,341300,NEAR BAY
4,-122.25,37.85,52,1627,280.0,565,259,3.8462,342200,NEAR BAY
5,-122.25,37.85,52,919,213.0,413,193,4.0368,269700,NEAR BAY
6,-122.25,37.84,52,2535,489.0,1094,514,3.6591,299200,NEAR BAY
7,-122.25,37.84,52,3104,687.0,1157,647,3.12,241400,NEAR BAY
8,-122.26,37.84,42,2555,665.0,1206,595,2.0804,226700,NEAR BAY
9,-122.25,37.84,52,3549,707.0,1551,714,3.6912,261100,NEAR BAY
10,-122.26,37.85,52,2202,434.0,910,402,3.2031,281500,NEAR BAY
11,-122.26,37.85,52,3503,752.0,1504,734,3.2705,241800,NEAR BAY
12,-122.26,37.85,52,2491,474.0,1098,468,3.075,213500,NEAR BAY
13,-122.26,37.84,52,696,191.0,345,174,2.6736,191300,NEAR BAY
14,-122.26,37.85,52,2643,626.0,1212,620,1.9167,159200,NEAR BAY
15,-122.26,37.85,50,1120,283.0,697,264,2.125,140000,NEAR BAY
16,-122.27,37.85,52,1966,347.0,793,331,2.775,152500,NEAR BAY
17,-122.27,37.85,52,1228,293.0,648,303,2.1202,155500,NEAR BAY
18,-122.26,37.84,50,2239,455.0,990,419,1.9911,158700,NEAR BAY
19,-122.27,37.84,52,1503,298.0,690,275,2.6033,162900,NEAR BAY
20,-122.27,37.85,40,751,184.0,409,166,1.3578,147500,NEAR BAY
21,-122.27,37.85,42,1639,367.0,929,366,1.7135,159800,NEAR BAY
22,-122.27,37.84,52,2436,541.0,1015,478,1.725,113900,NEAR BAY
23,-122.27,37.84,52,1688,337.0,853,325,2.1806,99700,NEAR BAY
24,-122.27,37.84,52,2224,437.0,1006,422,2.6,132600,NEAR BAY
25,-122.28,37.85,41,535,123.0,317,119,2.4038,107500,NEAR BAY
26,-122.28,37.85,49,1130,244.0,607,239,2.4597,93800,NEAR BAY
